session,detection_id,event_type,detection_time_s,priority,source
S06,DET0123,contact,110.936,5,commentary_engine
S06,DET0124,contact,111.926,5,commentary_engine
S06,DET0125,contact,112.916,5,commentary_engine
S06,DET0126,contact,113.972,5,commentary_engine
S06,DET0127,contact,114.962,5,commentary_engine
S06,DET0128,contact,115.952,5,commentary_engine
S06,DET0129,contact,130.548,5,commentary_engine
S06,DET0130,contact,135.048,5,commentary_engine
S06,DET0131,contact,144.588,5,commentary_engine
S06,DET0132,contact,149.628,5,commentary_engine
